newtrans,location,days_before,days_after,transmonth,prevvisits,newvisits,lyprevvisits,lynewvisits,hotel_published_year,latitude,longitude,rating,num_amenities,ta,prev_oyster,new_oyster,price
4-full,Los Angeles,90,360,52015,0,1,0,0,2014,33.658396,-118.002849,40,15,99407,28,100,214.5454
3-partial,Los Angeles,90,314,52015,3,19,4,5,2009,34.104591,-118.34193,30,19,352461,905,1041,214.5686
3-partial,New York City,90,374,52015,0,2,0,8,2009,40.708883,-74.00203,30,16,52606,298,130,214.75
4-full,Hawaii,90,360,52015,1,2,0,3,2009,21.285705,-157.834053,30,18,66832,256,135,215
3-partial,New York City,90,374,52015,0,11,0,0,2009,40.739482,-73.982323,30,14,135308,70,441,215.1702
3-partial,Miami,90,368,52015,0,16,2,4,2009,25.774929,-80.132201,35,23,97679,432,560,216.0329
4-full,Hawaii,90,360,52015,1,16,2,4,2012,21.273411,-157.821448,35,15,238844,612,901,216.0769
4-full,Los Angeles,90,360,52015,1,0,0,1,2014,34.073741,-118.361763,30,8,66857,62,162,216.1
3-full,Caribbean,90,136,12016,22,70,15,24,2009,18.723249,-68.463173,35,34,1053664,7836,11030,216.6538
4-full,San Francisco/Northern Cali,90,360,52015,0,0,0,0,2012,37.316574,-121.977219,35,13,18403,46,42,216.75
3-partial,Caribbean,90,314,52015,8,62,31,64,2009,19.776495,-70.657119,35,32,665725,2959,2703,216.7884
3-partial,Caribbean,90,314,52015,0,0,0,0,2011,20.621849,-105.23194,45,22,139674,1366,1391,216.9689
4-full,Miami,90,360,52015,0,5,0,0,2009,25.778746,-80.131299,30,19,38403,246,239,217
4-full,Caribbean,90,360,52015,0,5,0,2,2012,18.036293,-63.094565,30,26,138535,1445,1629,217.2857
4-full,Caribbean,90,360,52015,3,20,6,7,2009,18.522749,-77.857574,20,31,702174,6657,7544,217.3031
4-full,Caribbean,90,360,52015,0,14,2,1,2011,18.4426,-66.0196,40,25,424491,3767,3709,217.5064
4-full,Washington D.C.,90,360,52015,0,5,1,1,2009,38.925471,-77.054109,35,20,62657,1208,1145,217.5172
4-full,Caribbean,90,360,52015,0,2,0,1,2011,22.876234,-109.903912,40,25,569552,3396,3797,217.7637
3-partial,New York City,90,374,52015,0,8,0,0,2014,40.755906,-73.982141,35,18,46096,169,476,217.8
3-partial,New York City,90,374,52015,2,7,9,7,2009,40.74953,-73.977794,40,15,100222,984,573,217.9333
4-full,Caribbean,90,360,52015,0,0,0,2,2011,23.051866,-109.697242,40,27,13749,172,137,217.95
3-partial,Caribbean,90,359,52015,1,14,3,4,2009,18.256132,-78.365196,35,20,99227,1821,1761,218.7726
3-partial,Caribbean,90,359,52015,6,33,2,27,2011,18.022884,-63.044699,30,15,70914,570,630,218.9132
4-full,New York City,90,360,52015,0,0,1,0,2013,40.806868,-73.990267,30,17,26823,182,142,219
3-partial,New York City,90,374,52015,0,36,2,4,2012,40.759762,-73.996536,40,17,117093,787,1217,219.3882
3-partial,New York City,90,374,52015,1,10,2,8,2009,40.764023,-73.982832,30,16,227712,595,623,219.3918
3-partial,Caribbean,90,359,52015,36,112,63,139,2009,19.316635,-69.532959,35,31,962472,4546,4610,220.5776
4-full,Washington D.C.,90,360,52015,2,7,2,3,2009,38.895223,-77.011381,30,17,178428,779,711,220.8333
4-full,Caribbean,90,360,52015,2,7,0,1,2009,18.519879,-77.872488,35,27,146818,836,747,221.488
3-partial,New York City,90,374,52015,0,11,0,1,2009,40.756697,-73.971543,30,19,302077,379,577,221.6271
3-partial,Hawaii,90,359,52015,3,11,3,11,2011,19.916631,-155.884755,40,27,248005,1311,1371,222.0212
3-partial,New York City,90,374,52015,1,9,0,5,2009,40.758181,-73.983566,25,10,111267,366,845,222.1981
3-partial,New York City,90,374,52015,2,5,4,9,2009,40.723865,-74.005216,30,12,55762,464,358,222.5
3-partial,New York City,90,374,52015,5,78,5,14,2013,40.75963,-73.987003,40,17,303401,1713,2627,222.7468
4-full,Washington D.C.,90,360,52015,0,2,0,1,2009,38.904963,-77.032363,30,18,26029,68,65,222.7857
3-partial,Miami,90,368,52015,7,25,9,33,2009,25.812175,-80.123037,35,21,266923,1139,1080,222.9096
4-full,Caribbean,90,360,52015,0,2,0,0,2011,21.145208,-86.788918,35,26,489774,1870,1862,223.1124
4-full,Caribbean,90,360,52015,2,8,0,8,2012,21.2017,-86.805254,30,23,269451,2160,2127,223.5888
3-partial,New York City,90,374,52015,23,56,0,65,2009,40.752705,-73.993477,35,17,578428,3293,2191,224.2743
3-partial,Hawaii,90,361,52015,2,17,4,11,2009,21.275274,-157.821914,35,19,469338,1095,1187,224.468
4-full,Caribbean,90,360,52015,20,102,114,110,2009,18.716391,-68.451492,30,33,673092,3533,3826,224.7101
3-partial,New York City,90,374,52015,5,11,3,10,2009,40.764348,-73.992384,30,16,171776,604,581,224.8507
4-full,Miami,90,360,52015,0,4,0,0,2009,25.793314,-80.12894,30,22,86683,323,322,224.9473
3-partial,Los Angeles,90,361,52015,1,6,3,4,2009,34.065636,-118.409605,35,14,19890,378,349,225.124
4-full,Miami,90,360,52015,0,7,5,4,2009,25.75207,-80.255667,40,22,37624,325,373,225.72
3-partial,New York City,90,374,52015,1,4,3,12,2011,40.691435,-73.984531,35,19,82665,371,383,225.75
3-partial,New York City,90,374,52015,1,5,1,5,2009,40.743276,-73.991083,30,13,66352,376,237,225.7777
3-partial,Caribbean,90,136,12016,25,85,13,38,2009,18.7085,-68.441696,40,32,1746256,7236,9093,226.2188
4-full,Washington D.C.,90,360,52015,1,1,1,2,2009,38.8996,-77.026405,35,18,137412,600,490,226.5142
3-partial,Hawaii,90,361,52015,0,15,5,4,2009,21.278321,-157.830727,35,16,259629,885,1029,226.7142
4-full,Miami,90,360,52015,1,28,1,2,2009,25.78755,-80.131004,20,19,6792,148,907,226.8823
4-full,Miami,90,360,52015,1,6,1,4,2009,25.931318,-80.126747,35,17,15864,148,200,226.9375
3-partial,New York City,90,374,52015,3,36,7,19,2009,40.754928,-73.977178,35,22,412639,2749,3138,227.3415
4-full,Caribbean,90,360,52015,1,7,0,4,2013,11.148314,-60.774876,35,22,140942,382,278,227.3442
4-full,Hawaii,90,360,52015,0,2,0,1,2011,19.558408,-155.961594,35,20,32052,197,107,227.8
3-full,Caribbean,90,181,52015,33,98,43,39,2009,18.346792,-68.826004,35,30,403794,2560,2245,227.8496
3-partial,New York City,90,374,52015,0,2,1,2,2014,40.743843,-73.99305,30,15,60081,75,78,227.8571
3-partial,Las Vegas,90,323,52015,12,89,52,51,2010,36.107365,-115.177,40,26,1432802,9332,13894,227.9938
3-partial,Caribbean,90,314,52015,0,2,1,0,2011,22.88505,-109.90848,35,26,125888,1156,1092,228.5743
